Miejsce
Most Golden Gate
Tower Bridge
Most Karola
Pont du Gard
Most Brooklyn
Wieża Eiffla
Burj Khalifa
Empire State Building
Sagrada Família
Sydney Opera House
Taj Mahal
Big Ben
Krzywa Wieża w Pizie
Koloseum
Statua Wolności
Machu Picchu
Wielki Mur Chiński
Petra
Akropol
Bazylika św. Piotra
Zamek Neuschwanstein
Mont-Saint-Michel
Alhambra
Angkor Wat
Zamek w Edynburgu
Hagia Sophia
Katedra Notre-Dame
Forbidden City
Christ the Redeemer
Stonehenge
Space Needle
CN Tower
Chrysler Building
One World Trade Center
Burj Al Arab
Marina Bay Sands
Louvre
Ermitaż
Metropolitan Museum
British Museum
Guggenheim Museum
Katedra św. Bazylego
Zamek Wawelski
Palace of Westminster
Reichstag
Capitol Hill
Casa Batlló
Park Güell
Central Park
Hyde Park
Golden Temple
Temple of Heaven
Wat Pho
Borobudur
Chichen Itza
Teotihuacan
Easter Island Moai
Mount Rushmore
Hollywood Sign
Las Vegas Strip
Times Square
Piccadilly Circus
Red Square
Tiananmen Square
Plaza de Armas
St. Mark's Square
Champs-Élysées
Fifth Avenue
Oxford Street
La Rambla
Copacabana Beach
Bondi Beach
Venice Beach
Waikiki Beach
South Beach
Niagara Falls
Victoria Falls
Angel Falls
Iguazu Falls
Mount Everest
Mount Fuji
Matterhorn
Mount Kilimanjaro
Grand Canyon
Antelope Canyon
Bryce Canyon
Yellowstone National Park
Yosemite National Park
Serengeti National Park
Kruger National Park
Banff National Park
Torres del Paine
Sahara Desert
Atacama Desert
Death Valley
Uluru
Giant's Causeway
Santorini Caldera
Maldives Atolls
Great Barrier Reef
Blue Lagoon
Geyser Old Faithful
Salar de Uyuni
Pamukkale
Zhangjiajie National Forest
Ha Long Bay
Milford Sound
Geirangerfjord
Lofoten Islands
Faroe Islands
Cappadocia
Versailles Palace
Buckingham Palace
Windsor Castle
Prague Castle
Schönbrunn Palace
Doge's Palace
Royal Palace of Madrid
Catherine Palace
Hearst Castle
Biltmore Estate
Palace of Knossos
Topkapi Palace
Potala Palace
Summer Palace
Kremlin Moscow
Castel del Monte
Château de Chambord
Alcázar of Seville
Mysore Palace
Amber Palace
Red Fort Delhi
Gateway of India
India Gate
Arc de Triomphe
Brandenburg Gate
Puerta del Sol
Trafalgar Square
Leicester Square
Covent Garden
Carnaby Street
Wall Street
Broadway Theater District
Sunset Boulevard
Rodeo Drive
Michigan Avenue
Navy Pier
Bean Cloud Gate
Willis Tower
Freedom Tower
Flatiron Building
St. Patrick's Cathedral
Washington Monument
Lincoln Memorial
Jefferson Memorial
Vietnam Veterans Memorial
Korean War Memorial
Smithsonian Castle
Kennedy Center
Library of Congress
Supreme Court Building
White House
Pentagon
Arlington Cemetery
Mount Vernon
Monticello
Independence Hall
Liberty Bell
Statue of Liberty Crown
Ellis Island
Brooklyn Bridge
Manhattan Bridge
Williamsburg Bridge
Queensboro Bridge
Verrazano Bridge
Golden Gate Park
Lombard Street
Alcatraz Island
Fisherman's Wharf
Union Square San Francisco
Napa Valley
Lake Tahoe
Yosemite Valley
Half Dome
El Capitan
Sequoia National Park
Death Valley Badwater
Joshua Tree National Park
Zion National Park
Arches National Park
Canyonlands National Park
Mesa Verde National Park
Rocky Mountain National Park
Glacier National Park
Crater Lake
Mount Rainier
Mount St. Helens
Columbia River Gorge
Multnomah Falls
Redwood National Park
Big Sur Coast
Hearst San Simeon
Monterey Bay
Carmel Mission
Point Reyes
Golden Gate Recreation Area
Muir Woods
Wine Country Sonoma
Lake Placid
Niagara Falls American Side
Finger Lakes
Adirondack Mountains
Catskill Mountains
Hudson Valley
Statue of Liberty Base
9/11 Memorial
High Line Park
Bryant Park
Washington Square Park
Union Square NYC
Grand Central Terminal
Penn Station
Yankee Stadium
Madison Square Garden
Radio City Music Hall
Carnegie Hall
Lincoln Center
Museum of Natural History
Guggenheim Spiral
MoMA Modern Art
Frick Collection
Whitney Museum
Brooklyn Museum
Queens Museum
Bronx Zoo
Central Park Zoo
Coney Island
Brighton Beach
Prospect Park
Green-Wood Cemetery
DUMBO Brooklyn
SoHo Manhattan
Greenwich Village
East Village
Lower East Side
Chinatown NYC
Little Italy NYC
Financial District
Battery Park
South Street Seaport
Stone Street Historic District
Trinity Church Wall Street
Federal Hall
City Hall NYC
Brooklyn Heights Promenade
Williamsburg Brooklyn
Long Island City
Flushing Meadows
Forest Hills Stadium
Rockaway Beach
Jones Beach
Fire Island
Montauk Point Lighthouse
Sagamore Hill
Old Westbury Gardens
Planting Fields Arboretum
Nassau Coliseum
Belmont Park Racetrack
Roosevelt Field Mall
American Museum Armory
Intrepid Sea Air Space
Tenement Museum
Museum of the City of NY
New York Historical Society
Cooper Hewitt Design Museum
Jewish Museum NYC
Museum of Arts and Design
National Museum of the American Indian
Skyscraper Museum
South Street Seaport Museum
New York Transit Museum
Children's Museum of Manhattan
Brooklyn Children's Museum
New York Hall of Science
Queens County Farm Museum
Historic Richmond Town
Snug Harbor Cultural Center
Alice Austen House
Conference House
Morris-Jumel Mansion
Dyckman Farmhouse
Gracie Mansion
King Manor Museum
Kingsland Homestead
Lewis Latimer House
Louis Armstrong House
Malcolm X House
Edgar Allan Poe Cottage
Van Cortlandt House
Bartow-Pell Mansion
Wave Hill
New York Botanical Garden
Queens Botanical Garden
Brooklyn Botanic Garden
Staten Island Botanical Garden
Governors Island
Roosevelt Island
Randalls Island
Wards Island
Hart Island
Liberty Island
Staten Island Ferry Terminal
Whitehall Terminal
St. George Terminal
Coney Island Cyclone
Luna Park
Deno's Wonder Wheel
New York Aquarium
Prospect Park Zoo
Queens Zoo
Staten Island Zoo
Yankee Stadium Monument Park
Citi Field
Barclays Center
Madison Square Garden Theater
Apollo Theater
Beacon Theatre
Town Hall NYC
Webster Hall
Terminal 5
Brooklyn Bowl
Music Hall of Williamsburg
Bowery Ballroom
Mercury Lounge
Knitting Factory
Blue Note
Village Vanguard
Birdland
Jazz Standard
Smalls Jazz Club
55 Bar
Lenox Lounge
Minton's Playhouse
Cotton Club
Savoy Ballroom Site
CBGB Former Location
Max's Kansas City Site
Electric Circus Site
Fillmore East Site
Academy of Music
BAM Harvey Theater
Brooklyn Academy of Music
St. Ann's Warehouse
Public Theater
Shakespeare in the Park
Delacorte Theater
New Amsterdam Theater
Lyceum Theater
Palace Theater
Shubert Theater
Majestic Theater
Imperial Theater
Ambassador Theater
Broadhurst Theater
Brooks Atkinson Theater
Eugene O'Neill Theater
Gershwin Theater
Lunt-Fontanne Theater
Marquis Theater
Minskoff Theater
Nederlander Theater
Richard Rodgers Theater
Winter Garden Theater
Al Hirschfeld Theater
August Wilson Theater
Bernard B. Jacobs Theater
Circle in the Square
Helen Hayes Theater
Longacre Theater
Neil Simon Theater
Samuel J. Friedman Theater
Studio 54 Former Location
Rainbow Room
Top of the Rock
Empire State Building Observatory
One World Observatory
Edge Hudson Yards
SUMMIT One Vanderbilt
Brooklyn Bridge Park
Hudson River Park
Riverside Park
Fort Tryon Park
Inwood Hill Park
Van Cortlandt Park
Pelham Bay Park
Flushing Meadows Corona Park
Forest Park Queens
Highland Park
Marine Park
Floyd Bennett Field
Great Kills Park
Wolfe's Pond Park
Clove Lakes Park
Silver Lake Park
Grymes Hill Park
Historic House Trust Sites
Theodore Roosevelt Birthplace
Hamilton Grange
General Grant Tomb
Fraunces Tavern
Stone Street Historic District
South Street Seaport Historic District
Brooklyn Bridge Historic District
Park Slope Historic District
Carroll Gardens Historic District
Cobble Hill Historic District
Brooklyn Heights Historic District
DUMBO Historic District
Williamsburg Historic District
Long Island City Historic District
Astoria Historic District
Jackson Heights Historic District
Forest Hills Gardens
Richmond Hill Historic District
St. George Historic District
Stapleton Historic District
Tottenville Historic District
New Brighton Historic District
West Brighton Historic District
Rosebank Historic District
Great Kills Historic District
Eltingville Historic District
Annadale Historic District
Huguenot Historic District
Prince's Bay Historic District
Pleasant Plains Historic District
Charleston Historic District
Rossville Historic District
Woodrow Historic District
New Springville Historic District
Bulls Head Historic District
Heartland Village Historic District
Bloomfield Historic District
New Dorp Historic District
Oakwood Historic District
Great Kills Historic District
Bay Terrace Historic District
Richmondtown Historic District
Fresh Kills Historic District
Port Richmond Historic District
Mariners Harbor Historic District
Arlington Historic District
Elm Park Historic District
Port Ivory Historic District
Howland Hook Historic District
Linoleumville Historic District
